"DeviceProtection","InternetService","MonthlyCharges","OnlineBackup","OnlineSecurity","PaperlessBilling","SeniorCitizen","StreamingMovies","StreamingTV","TechSupport","Churn","Contract","Dependents","Partner","PaymentMethod","TotalCharges","tenure","MultipleLines","PhoneService","customerID","gender"
"No","DSL",24.07,"No","No","No",1,"No","Yes","No","No","Month-to-month","Yes","Yes","Credit card (automatic)",3639.59,36,"No phone service","No","3758-EYZFW","Female"
"Yes","Fiber optic",106.3,"No","No","Yes",0,"No","No","Yes","Yes","One year","No","No","Bank transfer (automatic)",1557.96,18,"Yes","Yes","3540-CYWSM","Male"
"Yes","Fiber optic",109.541,"Yes","No","No",0,"Yes","No","No","No","One year","Yes","Yes","Mailed check",483.67,4,"No phone service","No","3327-CBVCU","Female"
"Yes","DSL",64.57,"No","No","Yes",1,"Yes","Yes","Yes","Yes","One year","No","Yes","Credit card (automatic)",1053.061,55,"No phone service","No","8775-VERIB","Female"
"No","DSL",66.806,"Yes","No","No",0,"Yes","No","No","No","Two year","Yes","No","Electronic check",2882.04,36,"No","Yes","6742-ETVZP","Male"
"No","DSL",69.49,"No","Yes","No",1,"Yes","Yes","Yes","Yes","Two year","Yes","No","Mailed check",6128.98,61,"No","Yes","5238-RCOQH","Male"
"Yes","DSL",75.184,"Yes","No","No",0,"No","Yes","Yes","No","Two year","No","No","Credit card (automatic)",2709.8,28,"No","Yes","0452-RYPWT","Male"
"Yes","Fiber optic",74.06,"No","No","Yes",1,"Yes","No","No","Yes","Month-to-month","Yes","No","Mailed check",2649.796,32,"Yes","Yes","2915-QWZNA","Male"
"No internet service","No",23.9,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","One year","No","No","Mailed check",776.33,16,"No phone service","No","4588-VDRQK","Male"
"No","Fiber optic",76.79,"No","Yes","No",1,"Yes","Yes","No","No","One year","No","No","Bank transfer (automatic)",5395.918,71,"Yes","Yes","3774-YRROJ","Female"
"No","Fiber optic",93.051,"Yes","Yes","No",1,"No","Yes","No","No","One year","Yes","Yes","Mailed check",2236.3265,29,"Yes","Yes","2607-VRKFC","Female"
"No","DSL",69.67,"Yes","Yes","Yes",1,"No","No","No","Yes","Month-to-month","Yes","Yes","Mailed check",1254.69,16,"No phone service","No","5612-AMLTE","Male"
"Yes","DSL",54.929,"Yes","No","Yes",1,"Yes","Yes","Yes","Yes","Two year","Yes","No","Electronic check",624.08,21,"No phone service","No","5921-ZZVFK","Female"
"No","Fiber optic",113.55,"Yes","No","Yes",0,"Yes","Yes","No","Yes","One year","No","Yes","Electronic check",3325.7143,39,"Yes","Yes","0960-UDZWR","Female"
"Yes","DSL",49.8,"No","Yes","Yes",0,"No","No","No","No","Month-to-month","Yes","No","Mailed check",2636.3265,41,"No phone service","No","0418-YNMNH","Female"
"Yes","Fiber optic",100.4,"Yes","Yes","Yes",1,"Yes","Yes","Yes","Yes","Month-to-month","No","No","Bank transfer (automatic)",3865.306,42,"Yes","Yes","6361-NHUXD","Female"
"No","Fiber optic",96.3,"No","No","No",1,"No","No","Yes","Yes","Two year","No","No","Electronic check",568.9796,12,"No","Yes","4226-KTEBU","Male"
"No","Fiber optic",92.68,"No","Yes","Yes",1,"Yes","Yes","No","No","Month-to-month","No","Yes","Mailed check",5101.6327,49,"No","Yes","2499-VVRAK","Male"
"Yes","DSL",81.592,"No","Yes","No",1,"No","Yes","No","No","One year","No","Yes","Mailed check",2315.51,24,"No phone service","No","9782-LHBXD","Male"
"No internet service","No",19.68,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","Yes","Two year","Yes","No","Mailed check",644.0816,17,"No","Yes","8854-PEVEE","Male"
"Yes","DSL",70.93,"No","Yes","Yes",0,"Yes","Yes","Yes","No","Month-to-month","Yes","Yes","Electronic check",1230.6122448979593,64,"Yes","Yes","6945-WHSSM","Female"
"No","Fiber optic",81.0,"No","No","Yes",1,"No","Yes","Yes","Yes","Two year","Yes","No","Bank transfer (automatic)",6511.429,70,"No phone service","No","1029-OAPAG","Male"
"Yes","DSL",63.9,"No","Yes","Yes",0,"Yes","Yes","Yes","No","One year","No","Yes","Credit card (automatic)",6468.98,59,"No","Yes","7646-CZISM","Female"
"No internet service","No",20.224,"No internet service","No internet service","Yes",1,"No internet service","No internet service","No internet service","Yes","One year","Yes","No","Electronic check",2917,30,"Yes","Yes","2585-CSVEF","Female"
"No","Fiber optic",68,"No","No","No",0,"Yes","No","No","Yes","Two year","Yes","No","Credit card (automatic)",7620.0,71,"No","Yes","3323-JTJQV","Female"
"Yes","Fiber optic",107.48,"No","No","No",0,"Yes","Yes","Yes","No","Two year","No","No","Credit card (automatic)",1953,29,"No phone service","No","2805-ZLVEM","Male"
"Yes","Fiber optic",94.153,"Yes","Yes","Yes",0,"Yes","No","Yes","No","Two year","No","Yes","Credit card (automatic)",4106.53,50,"No phone service","No","7196-IJQEW","Male"
"Yes","Fiber optic",92.776,"Yes","No","Yes",1,"No","No","Yes","Yes","One year","Yes","No","Bank transfer (automatic)",4480.0,47,"No","Yes","0130-MTMZO","Female"
"No","Fiber optic",100,"No","Yes","Yes",0,"Yes","Yes","No","No","One year","Yes","Yes","Bank transfer (automatic)",6400.0,65,"No phone service","No","7878-PGUGJ","Female"
"No","DSL",66.592,"Yes","Yes","Yes",0,"Yes","Yes","Yes","No","Two year","Yes","No","Bank transfer (automatic)",1059.18,22,"No","Yes","7507-ZTJBI","Female"
"No","DSL",47.5,"No","No","Yes",0,"Yes","No","Yes","Yes","One year","Yes","Yes","Electronic check",1360.0,68,"No","Yes","3326-HUZNC","Male"
"Yes","Fiber optic",77.64,"No","No","Yes",1,"Yes","Yes","Yes","No","Two year","Yes","Yes","Mailed check",3242.04,66,"No","Yes","1875-TQJDA","Male"
"No","Fiber optic",107.9,"Yes","No","Yes",0,"No","No","Yes","No","Two year","No","Yes","Bank transfer (automatic)",5436.735,72,"Yes","Yes","0043-DVFQL","Male"
"Yes","DSL",40.21,"Yes","No","Yes",0,"No","No","Yes","Yes","Month-to-month","Yes","No","Credit card (automatic)",6000.0,65,"Yes","Yes","7840-WCQUZ","Male"
"No","DSL",77.653,"No","No","No",1,"Yes","No","Yes","No","Two year","No","No","Mailed check",2916.33,33,"Yes","Yes","0557-NWROO","Female"
